Season,Episode,Episode Title,Line,Character,Lines
1,1,Cartman Gets an Anal Probe,14,Kenny McCormick,(It's a plastic dick that goes in a vagina.) [The others laugh.] 
1,1,Cartman Gets an Anal Probe,94,Kenny,(Oh nooo!) 
1,1,Cartman Gets an Anal Probe,199,Kenny,"(Or look at the cat on her feet, then touch her.) "
1,1,Cartman Gets an Anal Probe,277,Kenny,"(Don't worry, I'm alright. Argh!) "
1,1,Cartman Gets an Anal Probe,280,Kenny,"[He gets up again.] (Nope, I'm all fine. Agh!) "
1,2,Weight Gain 4000,575,Kenny,"(How big's your penis, Chef?) "
1,2,Weight Gain 4000,670,Kenny,(They're the biggest breasts that I've seen) 
1,2,Weight Gain 4000,853,Kenny,(Oh no!) 
1,3,Volcano,926,Kenny,(Maybe she'll suck my dick.) 
1,3,Volcano,1089,Kenny,"(Hey, what's that?) "
1,3,Volcano,1126,Kenny,(A little like a vagina.) 
1,3,Volcano,1129,Kenny,(Thanks.) 
1,3,Volcano,1228,Kenny,"(Nope, I'm okay.) "
1,3,Volcano,1230,Kenny,(It-aah. It hurts! IT HURTS!) 
1,3,Volcano,1232,Kenny,(Ugh.) 
1,3,Volcano,1279,Kenny,"(Hey guys, what's goin' down?) "
1,3,Volcano,1301,Kenny,"(Oh, no!) "
1,4,Big Gay Al's Big Gay Boat Ride,1331,Kenny,"(Oh my God, I think they're screwing.) "
1,4,Big Gay Al's Big Gay Boat Ride,1339,Kenny,"(No, check his penis.) "
1,4,Big Gay Al's Big Gay Boat Ride,1488,Kenny,(I think that Garrison said that gay people suck.) 
1,5,An Elephant Makes Love to a Pig,1854,Kenny,"(Hey you guys, I talked to Garrison and he told me that they're almost the same.) "
1,5,An Elephant Makes Love to a Pig,1950,Kenny,Mmmmmm! 
1,5,An Elephant Makes Love to a Pig,2036,Kenny,(Or are you gonna hit her with your hand?) 
1,5,An Elephant Makes Love to a Pig,2043,Kenny,"(""And I want to see you handling your breasts."") "
1,5,An Elephant Makes Love to a Pig,2138,Kenny,(A big mutant Stan?!) 
1,5,An Elephant Makes Love to a Pig,2157,Kenny,(Look at that! What's he doin'?) 
1,6,Death,2370,Kenny,(I have to go poop.) 
1,6,Death,2372,Kenny,"(I did, I gotta go again...) "
1,6,Death,2398,Kenny,(OH MY GOD!) 
1,6,Death,2400,Kenny,(Owww!) [Splatterrrrr!] 
1,6,Death,2516,Kenny,(Oh my God!) 
1,6,Death,2524,Kenny,(Ow!) 
1,6,Death,2679,Kenny,"(You know what I think? Basically, if you let the decision of what you watch stop at the parents' control, then what can you see? It'll stay the same because they'll just get offended although their kids are not delighted with the television series they put on for their kids.) "
1,7,Pinkeye,3305,Kenny,"(Heeeeyyyy, kick ass.) "
1,7,Pinkeye,3307,Kenny,(Ow!) 
1,8,Starvin' Marvin,3340,Kenny,(Woohoo!) 
1,8,Starvin' Marvin,3355,Kenny,"(Dude, it's a pipe for your peepee) "
1,8,Starvin' Marvin,3732,Kenny,(O-Oh.) 
1,9,"Mr. Hankey, the Christmas Poo",3794,Kenny,(Kyle has Jesus' head instead!) 
1,9,"Mr. Hankey, the Christmas Poo",3840,Kenny,P'tooui. 
1,9,"Mr. Hankey, the Christmas Poo",3906,Kenny,(Kyle's lost it!) 
1,9,"Mr. Hankey, the Christmas Poo",4017,Kenny,(That is the sickest thing I have ever fucking seen!) 
1,9,"Mr. Hankey, the Christmas Poo",4144,Kenny,(Hunh?) 
1,9,"Mr. Hankey, the Christmas Poo",4158,Kenny,(Phew!) 
1,9,"Mr. Hankey, the Christmas Poo",4248,Kenny,(Yee he hee!) 
1,10,Damien,4335,Kenny,"(Yeah, I feel that she's a freakin' bitch!) "
1,10,Damien,4343,Kenny,Quack-quack. 
1,10,Damien,4381,Kenny,Quack-quack. 
1,10,Damien,4441,Kenny,Quack-quack. 
1,11,Tom's Rhinoplasty,4756,Kenny,"(Damn, I'd like to get a taste of her!) "
1,11,Tom's Rhinoplasty,4758,Kenny,"(Damn, I'd like to get a taste of her!) "
1,11,Tom's Rhinoplasty,4817,Kenny,"(Yeah, they totally kick ass at spanking!) "
1,11,Tom's Rhinoplasty,5127,Kenny,(And did you stick it in right when the fireplace gave you the shadow light?) 
1,12,Mecha-Streisand,5328,Kenny,"(Yeah, and I got this nice marble sack to go with this carrot stick, see?) "
1,12,Mecha-Streisand,5610,Kenny,(Oh no! I have got to stay away fro-aaagh!) 
1,12,Mecha-Streisand,5612,Kenny,(Ugh!) 
1,13,Cartman's Mom is a Dirty Slut,5695,Kenny,"(Perhaps, he's just too big to get out of bed.) "
1,13,Cartman's Mom is a Dirty Slut,5724,Kenny,"(I think if we run, try to get Eric to drop his tea.) "
1,13,Cartman's Mom is a Dirty Slut,5924,Kenny,(Guuyys! Could you please make it stoopp?!!) 
