Season,Episode,Episode Title,Line,Character,Lines
2,12,Clubhouses,11789,Butters,Pass this up. 
3,8,Two Guys Naked in a Hot Tub,17727,Butters,"Hey, Stan. Why I-I-I sure am glad you're here, 'cause then we'll have even more fun than we, why, than we was havin' before. Why, we wuh, we were havin' an awfully good time before you showed up, too, however. "
3,8,Two Guys Naked in a Hot Tub,17729,Butters,"Nope. No way out. Buh, but there ain't nothin' upstairs but an old, stupid party anyways. It's better down here in the kids' room. [motions to the little boy to his left] Uh, this here is Dougie. He's not too old, but he sure is a hoot to hang with. Uhuh, he's in first grade, I think. "
3,8,Two Guys Naked in a Hot Tub,17749,Butters,"Uhuh, you uh really oughta play, Stan. It's an awfully fun game. Ah I've never been to England, but uh I'll bet the people there are really nice. [Pip walks off] Are people nice in England, Pip? I bet they are, huh? [annoyed, Stan covers his ears] They got those thick noses and all. "
3,8,Two Guys Naked in a Hot Tub,17751,Butters,Uh what is it? Is it something neat? Uh I wonder what it could be. [he and Dougie reach the box and look in] 
3,8,Two Guys Naked in a Hot Tub,17754,Butters,"Hey, you know what we could do with these lady clothes, huh? Wuh-y why we could play Charlie's Angels. "
3,8,Two Guys Naked in a Hot Tub,17757,Butters,"No, uh I get to be Jaclyn Smith. See, uh I thought of Charlie's Angels, and I get to be Jaclyn Smith 'cause I thought of it. "
3,8,Two Guys Naked in a Hot Tub,17778,Butters,"Well, I don't know what our mission is. Do you know what our mission is, little first-grade kid? "
3,8,Two Guys Naked in a Hot Tub,17781,Butters,"Hey, that's because we need Bosley. Uh Bosley always told the Angels what their mission was. Remember Bosley? Wah uhwhy uhwhy we need somebody to be Bosley. [strokes his chin. All three look around, but the silence alerts Stan] "
3,8,Two Guys Naked in a Hot Tub,17785,Butters,"Uh you just got- you just gotta tell us what our mission is, that's all. That's all Bosley does. Just give a mission, and us Angels will accomplish it. "
3,8,Two Guys Naked in a Hot Tub,17788,Butters,"Well, what are we waitin' for? We've gotta find a way out of this room, by golly, or else we're gonna get drowned. Come on, Angels! [they go in different directions, but Dougie pauses] "
3,8,Two Guys Naked in a Hot Tub,17810,Butters,"Dougie pushed that big box out of the way and found this old ventilation duct. And I reckon it's got to lead somewhere, and and it's good 'cause, uh 'cause now we won't drown. "
3,8,Two Guys Naked in a Hot Tub,17813,Butters,Upstairs? Uhwhy why there's ain't nothin' upstairs but adults. Uhwhy would we want to go upstairs for? 
3,8,Two Guys Naked in a Hot Tub,17856,Butters,"So what's our mission now, huh Bosley? Uh wha what do you want us to do now, I wonder? "
3,8,Two Guys Naked in a Hot Tub,17860,Butters,"Well, hooray! "
3,8,Two Guys Naked in a Hot Tub,17903,Butters,"Come right on in here, Bosley. Huhwell, it was my idea. [Pip and Dougie are already inside, waiting] Uh I got to thinkin', ""Wuh, where do people keep TV sets?"" and then I remembered that lots of grownups have TV's ih in their bedrooms. So, so I walked into Mr. Mackey's bedroom and er and sure enough, here it was. "
3,8,Two Guys Naked in a Hot Tub,17907,Butters,Wwe ain't got no more missions? Uhwhawhat are we supposed to do? We're Angels. Whawhat do Angels do without a mission? 
3,8,Two Guys Naked in a Hot Tub,17921,Butters,"Hey, uhour parents aren't religious fantastics. Why, we gotta tell them that they're makin' an awful mistake, don't we? "
3,8,Two Guys Naked in a Hot Tub,17939,Butters,"Huh how come they're actin' that way, Stan, huh? Uh how come they're laughin' and fallin' down and such? "
3,8,Two Guys Naked in a Hot Tub,17942,Butters,"Uh let me handle this, Stan. [walks forward] Uh now l-listen up and listen good, everyone! Why, I'm awful disappointed in you drinkin' and carryin' on this way! Why you uhyou should be ashamed of yourselves! Uh if you don't get outside right now, and tell those army guys you're not religious fantastics, there's, why there's gonna be heck to pay. Uh, heck, I tell ya! [The adults laugh and his face drops] "
3,8,Two Guys Naked in a Hot Tub,17948,Butters,Whoa! 
3,8,Two Guys Naked in a Hot Tub,17987,Butters,"[panicking] Hey, what are we gonna do, huh?! Ughuh uh they shot at us! They really shot at us! They, they ain't gonna stop until we're all dead, I betcha. Huh us and all our families. "
3,8,Two Guys Naked in a Hot Tub,17989,Butters,"How come you slapped my face, Stan, huh? Why uhwhy on earth would you do that, anyways? "
3,8,Two Guys Naked in a Hot Tub,17997,Butters,"Oh dear God, they're gonna set us on fire. Uhoh, great Jesus, son of Mary, wife of Joseph, what are we gonna do, huh? Huhoh, sweet Joseph, husband of Mary but not father of sweet Jesus- "
3,8,Two Guys Naked in a Hot Tub,18003,Butters,"Uhuh, they're gonna burn us up and act like nothin' happened. Oh, sweet Jesus, Mary, mother of Jesus, wife of Joseph, father to Mary, well- Wait. Mary, wife uh... Oh, hold on. "
3,8,Two Guys Naked in a Hot Tub,18034,Butters,"Wuh, no, I'm not sure. Uh-I'm not sure at all. Wha-what am I doin' again? "
3,8,Two Guys Naked in a Hot Tub,18036,Butters,Tha-at sounds awful dangerous. 
3,8,Two Guys Naked in a Hot Tub,18044,Butters,"Wha-ah I don't know about this, uh. I think I'll reconsider. Yep uh I think reconsiderin' is the thing to do right now. [Dougie pushes him off] Waaah! [slides down to Barbrady and bounces off the hook] Gooh. [runs to the reporter] "
3,8,Two Guys Naked in a Hot Tub,18048,Butters,"Uhuh, Mr. Reporter, sir? "
3,8,Two Guys Naked in a Hot Tub,18050,Butters,"Uhuh wuhwe've got an eyewitness exclusive video for you, sir. [hands it to the reporter, who inspects it] "
3,8,Two Guys Naked in a Hot Tub,18089,Butters,"Uhuh oh uh, uh hooray, then! "
3,8,Two Guys Naked in a Hot Tub,18091,Butters,"Uh we, we sure did. Why, we put the fear of God in those ATF sons of guns, I can tell ya. "
3,8,Two Guys Naked in a Hot Tub,18093,Butters,"Uh, so you mean we can stay friends, Stan? Wouldn't that be swell, huh? "
3,12,Hooked on Monkey Fonics,19400,Butters,"Oowhy yu- you best do what he says, uh home-school kid. Why, this is our part of the playground, see? And uh, a-and if you don't follow our rules, whyuh, why we're gonna duct-tape ya to the bench. "
3,12,Hooked on Monkey Fonics,19405,Butters,Got it. [the boys disperse] 
3,12,Hooked on Monkey Fonics,19407,Butters,"Yeah why, why, you shouldn't be such a smart-mouthed Mr. Know-It-All! "
3,12,Hooked on Monkey Fonics,19548,Butters,"Wewell, come on. We gotta buy us some more duct tape. "
3,12,Hooked on Monkey Fonics,19566,Butters,"Uh, uuh, sure uh, I guess. "
3,12,Hooked on Monkey Fonics,19569,Butters,"Hey, isn't that the home-schooled kid's sister? [""You can see his stripes but you know he's clean.""] "
3,12,Hooked on Monkey Fonics,19571,Butters,"Woo-oh Holy Cow! [Kyle and Mark are quite surprised. ""Gotta get away.""] "
3,12,Hooked on Monkey Fonics,19587,Butters,Yeah. He's a badass! [smiles] 
3,12,Hooked on Monkey Fonics,19591,Butters,"Yeah, tha-that was real badass how you stood up for your sister. Uh-uh-I'd have kicked Kyle's bitch ass, too. "
3,12,Hooked on Monkey Fonics,19594,Butters,"[grabbing Mark's left hand] Eh, he said he'd hang out with me! [Mark smiles, pleased that these guys would fight for his friendship] "
3,12,Hooked on Monkey Fonics,19600,Butters,"Well, she sure is. "
3,14,The Red Badge of Gayness,20141,Butters,"Uh, conuh- [salutes] Confederate Messenger Butters reporting, sir. I have a message for you from the battlefield. [offers it] "
