Season,Episode,Episode Title,Line,Character,Lines
1,1,Cartman Gets an Anal Probe,6,Eric Cartman,"Yeah, go home you little dildo! "
1,1,Cartman Gets an Anal Probe,10,Cartman,I know what it means! 
1,1,Cartman Gets an Anal Probe,12,Cartman,I'm not telling you. 
1,1,Cartman Gets an Anal Probe,15,Cartman,"He-yeah, that's what Kyle's little brother is all right! [Kyle swings Ike by his feet, knocking Cartman down.] Ow! [Ike laughs.] "
1,1,Cartman Gets an Anal Probe,22,Cartman,That's 'cause I was having these bogus nightmares. 
1,1,Cartman Gets an Anal Probe,24,Cartman,"Well, I dreamt that I was lying in my bed... "
1,1,Cartman Gets an Anal Probe,26,Cartman,"...in the dark, when all of a sudden this bright blue light filled the room. "
1,1,Cartman Gets an Anal Probe,28,Cartman,Then slowly my bedroom door began to open... [A visitor peeks inside.] 
1,1,Cartman Gets an Anal Probe,29,Cartman,"...and then the next thing I remember, I was being drug through a hallway. "
1,1,Cartman Gets an Anal Probe,30,Cartman,Weeaak! 
1,1,Cartman Gets an Anal Probe,31,Cartman,Then I was lying on a table... 
1,1,Cartman Gets an Anal Probe,33,Cartman,...and these scary aliens wanted to operate on me. And they had big heads and big black eyes. 
1,1,Cartman Gets an Anal Probe,36,Cartman,What? 
1,1,Cartman Gets an Anal Probe,38,Cartman,"No, it was just a dream, my mom said so. "
1,1,Cartman Gets an Anal Probe,41,Cartman,"Oh, shut up, guys! You're just trying to make me scared. And it's not working. "
1,1,Cartman Gets an Anal Probe,46,Cartman,Kick ass. 
1,1,Cartman Gets an Anal Probe,48,Cartman,[surprised.] Huh? 
1,1,Cartman Gets an Anal Probe,50,Cartman,"Eh, no, that, that was just a dream. And I'm not fat, I'm big boned! "
1,1,Cartman Gets an Anal Probe,52,Cartman,Oh! 
1,1,Cartman Gets an Anal Probe,55,Cartman,Oh! 
1,1,Cartman Gets an Anal Probe,59,Cartman,"No! Uh-I mean, eh, why would they do that? "
1,1,Cartman Gets an Anal Probe,61,Cartman,No! 
1,1,Cartman Gets an Anal Probe,63,Cartman,"Shut up, dildo! "
1,1,Cartman Gets an Anal Probe,66,Cartman,Oh! 
1,1,Cartman Gets an Anal Probe,68,Cartman,"God damn it, they didn't do anything to my ass! It was just a dream! "
1,1,Cartman Gets an Anal Probe,71,Cartman,Shut up! 
1,1,Cartman Gets an Anal Probe,107,Cartman,"Shut up you guys, it's not working. "
1,1,Cartman Gets an Anal Probe,115,Cartman,"Heh, somebody's baking brownies. "
1,1,Cartman Gets an Anal Probe,146,Cartman,"[Embarrassed.] Heh, heh, that's a, that's, that's a little joke. Heh, heh. "
1,1,Cartman Gets an Anal Probe,155,Cartman,"Hah, hah. Mr. Hat yelled at you. "
1,1,Cartman Gets an Anal Probe,157,Cartman,Ow! My ass! 
1,1,Cartman Gets an Anal Probe,161,Cartman,[Cartman farts fire again.] Uh... Ow! My ass! 
1,1,Cartman Gets an Anal Probe,164,Cartman,"No, that was just a dream. "
1,1,Cartman Gets an Anal Probe,166,Cartman,"No, Mr. Garrison, I'm fine. "
1,1,Cartman Gets an Anal Probe,178,Cartman,"[Cartman farts fire.] Oh!! Whoa, I sure am hungry. "
1,1,Cartman Gets an Anal Probe,180,Cartman,"Shut up, dude, you're being totally immature. "
1,1,Cartman Gets an Anal Probe,184,Cartman,[Singing.] Stan wants to ki-iss Wendy Testabur-ger. 
1,1,Cartman Gets an Anal Probe,186,Cartman,I'm not fat. And you obviously like her because you throw up every time she talks to you. 
1,1,Cartman Gets an Anal Probe,198,Cartman,Or slip her the tongue. 
1,1,Cartman Gets an Anal Probe,228,Cartman,You are making it up. 
1,1,Cartman Gets an Anal Probe,232,Cartman,What? 
1,1,Cartman Gets an Anal Probe,237,Cartman,"[Turning to face Chef, testily.] Oh, I see. Now you're going to join in on the little joke huh? "
1,1,Cartman Gets an Anal Probe,241,Cartman,"Oh, you guys sure are going a long ways to try and scare me. I want my Salisbury steak! "
1,1,Cartman Gets an Anal Probe,248,Cartman,"Oh!! You guys, my ass, seriously..! "
