Season,Episode,Episode Title,Line,Character,Lines
3,1,Rainforest Shmainforest,15051,Craig,...I don’t know. 
3,1,Rainforest Shmainforest,15053,Craig,No. 
3,1,Rainforest Shmainforest,15055,Craig,No I didn’t. 
3,5,Tweek vs. Craig,16682,Craig,No. 
3,5,Tweek vs. Craig,16684,Craig,No. 
3,5,Tweek vs. Craig,16717,Craig,He did? 
3,5,Tweek vs. Craig,16719,Craig,Why would he say that? 
3,5,Tweek vs. Craig,16721,Craig,"[now pissed] Well, I've gotta go over there and- "
3,5,Tweek vs. Craig,16723,Craig,Okay. [flips Tweek off] 
3,5,Tweek vs. Craig,16782,Craig,Red Racer's on. 
3,5,Tweek vs. Craig,16784,Craig,I do watch Red Racer every day of the week! 
3,5,Tweek vs. Craig,16786,Craig,Nope. [shuts the door] 
3,5,Tweek vs. Craig,16788,Craig,What?! What did he say about Stripe?! 
3,5,Tweek vs. Craig,16790,Craig,"That son of a bitch, I'll kill him! "
3,5,Tweek vs. Craig,16792,Craig,After Red Racer. 
3,5,Tweek vs. Craig,16809,Craig,"Dad, I'm supposed to get in a fight tomorrow. "
3,5,Tweek vs. Craig,16811,Craig,Some kid. 
3,5,Tweek vs. Craig,16814,Craig,"Yeah, don't just ""Oh"" me! "
3,5,Tweek vs. Craig,16831,Craig,I uh... 
3,5,Tweek vs. Craig,16868,Craig,[turns to the crowd] What do we do? 
3,5,Tweek vs. Craig,16873,Craig,I've never been in a fight before. 
3,5,Tweek vs. Craig,16918,Craig,Meatloaf? 
3,5,Tweek vs. Craig,16925,Craig,"Oh, Jesus! I can't take it! Stop! "
3,5,Tweek vs. Craig,16927,Craig,How can I resist an ass so great? 
3,5,Tweek vs. Craig,16929,Craig,"This ass is unlike any I've encountered, Master. [Cartman bumps him off the ring, he hits a wall, and he's out] "
3,5,Tweek vs. Craig,16967,Craig,Okay. 
3,5,Tweek vs. Craig,16969,Craig,"Okay, okay! "
3,5,Tweek vs. Craig,16973,Craig,Respect my authority. 
3,5,Tweek vs. Craig,17039,Craig,Ugh. 
3,5,Tweek vs. Craig,17047,Craig,What was on the news? 
3,5,Tweek vs. Craig,17049,Craig,Huh? 
3,5,Tweek vs. Craig,17052,Craig,I'm gonna kick your ass! 
3,6,Sexual Harassment Panda,17217,Craig,This girl touched my thigh. 
3,6,Sexual Harassment Panda,17231,Craig,Um... [Gerald whispers in his ear] Okay. I refuse to answer on the grounds that it may incinerate me. 
3,6,Sexual Harassment Panda,17233,Craig,Incriminate. 
3,12,Hooked on Monkey Fonics,19397,Craig,"Hey, kid. Get out of that hamster ball. "
3,12,Hooked on Monkey Fonics,19402,Craig,"Just get out of the hamster ball, or else you're gonna find out! "
3,12,Hooked on Monkey Fonics,19406,Craig,"Have a nice second half of the day, nerdo! "
3,12,Hooked on Monkey Fonics,19456,Craig,"[leading a group of boys, walks up] Enjoying your lunch, nerdo? "
3,12,Hooked on Monkey Fonics,19460,Craig,"Get him! [the group grabs him and duct-tapes him to an adjacent bench, then walks away.] "
3,12,Hooked on Monkey Fonics,19544,Craig,"Alright, here's the plan. Tomorrow night at the dance, when none of the chaperones are looking, you guys go grab Mark. Bring him out here, and then we're gonna duct-tape him to this flagpole. "
3,12,Hooked on Monkey Fonics,19546,Craig,"That's the point, buttpipe. "
3,12,Hooked on Monkey Fonics,19568,Craig,"[""-becoming of me?""] Hey, there he is! There's the home-schooled kid! [Mark enters and stands next to Kyle] Come on! Let's go duct-tape him to the flagpole! [""Ride the tiger.""] "
3,12,Hooked on Monkey Fonics,19585,Craig,Oh my God! 
3,12,Hooked on Monkey Fonics,19593,Craig,[grabbing Mark's right hand] No! He's my friend! 
4,7,Chef Goes Nanners,23656,Craig,"No, you don't! "
4,16,The Wacky Molestation Adventure,26930,Craig,[approaches] What? 
4,16,The Wacky Molestation Adventure,26936,Craig,You... sure you wanna go to Treasure Cove? 
4,16,The Wacky Molestation Adventure,26942,Craig,"[stops just short of the line] This is the end of Smiley Town. The only phone is somewhere in Treasure Cove. If you wanna find it, you're gonna have to cross the white line. "
4,16,The Wacky Molestation Adventure,26944,Craig,Hell no! I'm not crossing the white line. 
4,16,The Wacky Molestation Adventure,26947,Craig,Craig. 
4,16,The Wacky Molestation Adventure,26949,Craig,"It's Spaceman Craig. [walks away slowly, deliberately, making sci-fi sound effects as he walks. Linda and her husband look at each other baffled. They then walk forward...] "
4,16,The Wacky Molestation Adventure,26975,Craig,"[space helmet off] Take that, kindergartners! "
4,16,The Wacky Molestation Adventure,26978,Craig,[space helmet back on] Kindergartners. Treasure Cove is full of them. 
4,16,The Wacky Molestation Adventure,26980,Craig,I got new orders. I'm supposed to take you to see the mayor. 
5,10,How to Eat with Your Butt,30862,Craig,"...Come on, we wanna see the ass people. "
5,12,Here Comes the Neighborhood,31476,Craig,Don't you have a VHS of it? 
5,12,Here Comes the Neighborhood,31759,Craig,"[walks past Tolkien, behind Butters] Ha, that guy's a pussy. [drags a sled behnd him. On the sled is Kenny, dead and badly beat up, with his right eye hanging out of its socket. Tweek and Clyde bring up the rear, and Tolkien looks as they leave him behind] "
6,6,Professor Chaos,34326,Craig,"Oh, aaaah, well you guys are dumb. "
6,8,Red Hot Catholic Love,34874,Craig,[entering] What's going on? 
6,8,Red Hot Catholic Love,34876,Craig,Oh. [leaves] 
6,10,Bebe's Boobs Destroy Society,35389,Craig,I don't know. Why? 
6,10,Bebe's Boobs Destroy Society,35391,Craig,"Yeah. It kinda does. [Bebe continues writing, but stops and looks to her right. All the boys are looking at her, all the girls look at the board.] "
6,10,Bebe's Boobs Destroy Society,35441,Craig,[beats his chest] Urh urh urh! [all the boys start grunting and displaying aggression] 
6,10,Bebe's Boobs Destroy Society,35473,Craig,"That's true, huh? Man, that really makes me reflect on my pets. "
6,10,Bebe's Boobs Destroy Society,35546,Craig,"Well, yeah, but Wendy, you have to admit, Bebe's a lot smarter and more organized than you. "
6,10,Bebe's Boobs Destroy Society,35554,Craig,Yeah! 
6,10,Bebe's Boobs Destroy Society,35558,Craig,Sure is! 
6,10,Bebe's Boobs Destroy Society,35619,Craig,"Hah hah hahah hah! [the other boys turn and start grunting. Stan chases Craig away from the steps, then returns to sitting there.] "
6,10,Bebe's Boobs Destroy Society,35719,Craig,Have you guys noticed that Bebe isn't as cool as she used to be? [Bebe smiles at her uncoolness] 
6,10,Bebe's Boobs Destroy Society,35732,Craig,"I'm sorry for fighting, you guys. [all the boys leave their seats and start apologizing to each other, hugging each other] "
6,13,The Return of the Fellowship of the Ring to the Two Towers,36508,Craig,It could hold a mental spell of some kind. 
6,13,The Return of the Fellowship of the Ring to the Two Towers,36532,Craig,There's no alternative. We have to return the tape before it causes more damage! 
6,13,The Return of the Fellowship of the Ring to the Two Towers,36534,Craig,"Ha! We cannot trust something of that much power to a dwarf! Especially a kindergartner dwarf. [all the boys begin to chatter, nominating who should return the video] "
6,13,The Return of the Fellowship of the Ring to the Two Towers,36535,Craig,You're too young. 
6,13,The Return of the Fellowship of the Ring to the Two Towers,36545,Craig,Only the six of us are to go? 
6,13,The Return of the Fellowship of the Ring to the Two Towers,36551,Craig,Look out! [a small avalanche of snow appears in front of them] 
6,13,The Return of the Fellowship of the Ring to the Two Towers,36573,Craig,We're entering the limits of Bailey. Everyone stay close. 
6,13,The Return of the Fellowship of the Ring to the Two Towers,36597,Craig,What? That's stupid. 
6,13,The Return of the Fellowship of the Ring to the Two Towers,36599,Craig,Whatever. I'm going back to play with the Harry Potter kids. [walks off] 
6,16,My Future Self n' Me,37358,Craig,"Yeah, didn't you see that commercial where it says that if you have pot you could become a terrorist? "
7,8,South Park is Gay!,40331,Craig,You guys look pretty gay. 
7,8,South Park is Gay!,40333,Craig,"[him and his group are not happy about it] Not as gay as us, though. "
7,8,South Park is Gay!,40335,Craig,Oh yeah?! We're super duper triple-dog gay! 
7,8,South Park is Gay!,40343,Craig,"Maybe. But you'll never be as metrosexual as us! Come on, fags! [snaps his fingers and his group follows him away] "
7,8,South Park is Gay!,40354,Craig,HA! Told you you guys were straight! 
7,8,South Park is Gay!,40360,Craig,"I'm not just gay, I'm a catamite. [Stan, Kyle, Cartman and Kenny stay silent, looking at each other] "
7,8,South Park is Gay!,40413,Craig,"[approaches with his friends] Hey, butch boy. Nice football you got there. [they laugh at him] "
7,8,South Park is Gay!,40417,Craig,"Oh, here come the butch boys to help their butchy little friend! "
7,8,South Park is Gay!,40421,Craig,Take your non-flaming ass to some other school! [the other boys gather round Kyle and gang up on him] 
7,8,South Park is Gay!,40503,Craig,Everyone knows it's true! 
7,8,South Park is Gay!,40505,Craig,Is so! 
7,8,South Park is Gay!,40526,Craig,"[steps forward, past his father] Yeah Mom! We're proud of who we are. "
7,12,All About Mormons,41484,Craig,"Yeah, little bitch! "
8,1,Good Times with Weapons,42727,Craig,Where'd you get those? 
8,1,Good Times with Weapons,42730,Craig,"Uh-uh, they're not that cool. "
