Season,Episode,Episode Title,Line,Character,Lines
1,1,Cartman Gets an Anal Probe,3,Kyle Broflovski,"Ah, damn it! My little brother's trying to follow me to school again. "
1,1,Cartman Gets an Anal Probe,5,Kyle,"Ike, you can't come to school with me. [Ike chortles.] "
1,1,Cartman Gets an Anal Probe,7,Kyle,"Dude, don't call my brother a dildo! "
1,1,Cartman Gets an Anal Probe,9,Kyle,"Well, I don't know...[faces Cartman and points at him.] and I'll bet Cartman doesn't know either! "
1,1,Cartman Gets an Anal Probe,11,Kyle,"Well, what? "
1,1,Cartman Gets an Anal Probe,17,Kyle,"Yeah, check this one out. Ready Ike? Kick the baby! "
1,1,Cartman Gets an Anal Probe,19,Kyle,Kick the baby. 
1,1,Cartman Gets an Anal Probe,23,Kyle,Really? What about? 
1,1,Cartman Gets an Anal Probe,35,Kyle,Totally! 
1,1,Cartman Gets an Anal Probe,40,Kyle,"Yeah, they abduct people and they mutilate cows. "
1,1,Cartman Gets an Anal Probe,49,Kyle,"Yeah, fat boy saw it! "
1,1,Cartman Gets an Anal Probe,56,Kyle,What's an anal probe? 
1,1,Cartman Gets an Anal Probe,58,Kyle,Whoa! They gave you an anal probe Cartman? 
1,1,Cartman Gets an Anal Probe,67,Kyle,We told you they were real Cartman. Sorry to hear about your ass. 
1,1,Cartman Gets an Anal Probe,70,Kyle,Why you walkin' so funny Cartman? 
1,1,Cartman Gets an Anal Probe,73,Kyle,"No, Ike, go home. "
1,1,Cartman Gets an Anal Probe,75,Kyle,This is it. This one's for the game. 
1,1,Cartman Gets an Anal Probe,77,Kyle,Kick the baby! 
1,1,Cartman Gets an Anal Probe,83,Kyle,"Damn it, he's still there. "
1,1,Cartman Gets an Anal Probe,85,Kyle,"No, dude, if something happens to him, my parents are gonna blame me. "
1,1,Cartman Gets an Anal Probe,91,Kyle,"[Gasps.] Oh, my God! "
1,1,Cartman Gets an Anal Probe,95,Kyle,"Ike! [Kyle runs to the front of the bus.] STOP THE BUUUUUS! Ms. Crabtree, you have to stop this bus! "
1,1,Cartman Gets an Anal Probe,97,Kyle,But I have to get off! 
1,1,Cartman Gets an Anal Probe,99,Kyle,No. 
1,1,Cartman Gets an Anal Probe,101,Kyle,But I... 
1,1,Cartman Gets an Anal Probe,103,Kyle,Arrghh! 
1,1,Cartman Gets an Anal Probe,108,Kyle,We have to do something! 
1,1,Cartman Gets an Anal Probe,114,Kyle,What am I going to do? My little brother's been abducted by aliens. [Stan farts.] You farted. [They laugh.] 
1,1,Cartman Gets an Anal Probe,138,Kyle,"[Whispering.] Oh, man. I can't just sit here, I have to help my stupid brother, or I'll come home without him and my dad will start yelling, ""Where's your brother, Kyle?"" ""You weren't looking out for your little brother, Kyle?"" "
1,1,Cartman Gets an Anal Probe,140,Kyle,"[His voice is rising to an audible level.] ""You know he can't think on his own, Kyle!"" ""Brush and floss, Kyle!"" ""Where has that finger been, Kyle?"" "
1,1,Cartman Gets an Anal Probe,143,Kyle,"Yes, Mr. Garrison, I have to go now. "
1,1,Cartman Gets an Anal Probe,145,Kyle,"No, my little brother's been abducted by aliens. [Silence.] It's true! Ask Cartman, they gave him an anal probe. "
1,1,Cartman Gets an Anal Probe,147,Kyle,"[Kyle walks up to Mr. Garrison's desk.] Mr. Garrison, seriously, I have to go. Can I please be excused from class? "
1,1,Cartman Gets an Anal Probe,149,Kyle,"I don't want to ask Mr. Hat, I'm asking you! "
1,1,Cartman Gets an Anal Probe,151,Kyle,"Mr. Hat, may I please be excused from class? "
1,1,Cartman Gets an Anal Probe,154,Kyle,[frustrated] Damn it! 
1,1,Cartman Gets an Anal Probe,160,Kyle,"Damn, Cartman! "
1,1,Cartman Gets an Anal Probe,162,Kyle,"Dude, he's farting fire! "
1,1,Cartman Gets an Anal Probe,181,Kyle,"Hey, look, there's Wendy Testaburger. "
1,1,Cartman Gets an Anal Probe,194,Kyle,"Dude, what does the note say? "
1,1,Cartman Gets an Anal Probe,197,Kyle,Whoa! Maybe you can kiss her. 
1,1,Cartman Gets an Anal Probe,202,Kyle,"Come on you guys, we need to figure out how to get out of school so we can get my little brother back. "
1,1,Cartman Gets an Anal Probe,207,Kyle,Bad. 
1,1,Cartman Gets an Anal Probe,209,Kyle,"Chef, have you ever had something happen to you, but nobody believed you? "
1,1,Cartman Gets an Anal Probe,221,Kyle,No! 
1,1,Cartman Gets an Anal Probe,227,Kyle,Mr. Garrison won't let us out of school. He thinks we're making it up. 
1,1,Cartman Gets an Anal Probe,233,Kyle,That was cool! 
1,1,Cartman Gets an Anal Probe,239,Kyle,"Please, Chef, if I don't get out of school and get my little brother back from the aliens, my parents are gonna disown me. "
1,1,Cartman Gets an Anal Probe,251,Kyle,"Okay, so how do we get my little brother back? "
1,1,Cartman Gets an Anal Probe,257,Kyle,He is under alien control. That thing in his butt is linked up to the Visitors! 
1,1,Cartman Gets an Anal Probe,261,Kyle,Hey! 
