Season,Episode,Episode Title,Line,Character,Lines
1,1,Cartman Gets an Anal Probe,8,Stan Marsh,What's a dildo? 
1,1,Cartman Gets an Anal Probe,13,Stan,"What's a dildo, Kenny? "
1,1,Cartman Gets an Anal Probe,16,Stan,"Dude, that kicks ass! "
1,1,Cartman Gets an Anal Probe,21,Stan,"Whoa, Cartman! Looks like you didn't get much sleep last night. "
1,1,Cartman Gets an Anal Probe,34,Stan,Dude! Visitors! 
1,1,Cartman Gets an Anal Probe,37,Stan,"That wasn't a dream Cartman, those were visitors! "
1,1,Cartman Gets an Anal Probe,39,Stan,Visitors are real. 
1,1,Cartman Gets an Anal Probe,44,Stan,"What's gonna be for lunch today, Chef? "
1,1,Cartman Gets an Anal Probe,53,Stan,They took him on their ship. 
1,1,Cartman Gets an Anal Probe,60,Stan,"Dude, they did, huh? Aliens stuck stuff up your ass! "
1,1,Cartman Gets an Anal Probe,80,Stan,"Good morning, Miss Crabtree. "
1,1,Cartman Gets an Anal Probe,84,Stan,"Oh, don't worry about him. "
1,1,Cartman Gets an Anal Probe,87,Stan,"Yeah, whatever, ya fat bitch. "
1,1,Cartman Gets an Anal Probe,89,Stan,I said I have a bad itch. 
1,1,Cartman Gets an Anal Probe,106,Stan,"Cartman, are those the same Visitors you saw? "
1,1,Cartman Gets an Anal Probe,109,Stan,"Well, we can't do anything for now, that fat bitch won't let us. "
1,1,Cartman Gets an Anal Probe,111,Stan,"Uh, I said that rabbits eat lettuce. "
1,1,Cartman Gets an Anal Probe,139,Stan,"[Whispering.] Okay, okay, let's ditch school and go find him. "
1,1,Cartman Gets an Anal Probe,141,Stan,Dude! 
1,1,Cartman Gets an Anal Probe,159,Stan,Dude! 
1,1,Cartman Gets an Anal Probe,163,Stan,It's the alien anal probe. It's shooting fire from Cartman's rectum! 
1,1,Cartman Gets an Anal Probe,179,Stan,How can you eat when you're farting fire? 
1,1,Cartman Gets an Anal Probe,182,Stan,[Gasps.] Where? 
1,1,Cartman Gets an Anal Probe,185,Stan,"Shut up, fat ass! I don't even like her! "
1,1,Cartman Gets an Anal Probe,187,Stan,I do not! 
1,1,Cartman Gets an Anal Probe,191,Stan,Bleech! 
1,1,Cartman Gets an Anal Probe,195,Stan,[He glances at it.] Holy crap! It says she wants to meet me at Stark's Pond after school. 
1,1,Cartman Gets an Anal Probe,200,Stan,[That gets his attention.] What? How do you know she has a cat? 
1,1,Cartman Gets an Anal Probe,211,Stan,"Uh, Chef? "
1,1,Cartman Gets an Anal Probe,213,Stan,Chef. 
1,1,Cartman Gets an Anal Probe,215,Stan,Chef! 
1,1,Cartman Gets an Anal Probe,217,Stan,[shouts loud enough for Chef to hear] CHEF!!! 
1,1,Cartman Gets an Anal Probe,223,Stan,Visitors took Kyle's baby brother. 
1,1,Cartman Gets an Anal Probe,230,Stan,Whoa! 
1,1,Cartman Gets an Anal Probe,243,Stan,"Killer! Thanks, Chef. "
1,1,Cartman Gets an Anal Probe,249,Stan,"Okay, Cartman, you can stop farting fire now. "
1,1,Cartman Gets an Anal Probe,256,Stan,What the hell was that? 
1,1,Cartman Gets an Anal Probe,269,Stan,"Kyle, look! It's them. "
1,1,Cartman Gets an Anal Probe,272,Stan,Oh my God! They killed Kenny! 
1,1,Cartman Gets an Anal Probe,276,Stan,"Hey look, [Kenny gets up.] I think Kenny's okay. "
1,1,Cartman Gets an Anal Probe,279,Stan,Owww. 
1,1,Cartman Gets an Anal Probe,282,Stan,"Wow, poor Kenny. "
1,1,Cartman Gets an Anal Probe,287,Stan,"Dude, Kenny is dead! "
1,1,Cartman Gets an Anal Probe,289,Stan,See? 
1,1,Cartman Gets an Anal Probe,297,Stan,"Sorry, dude. I gotta go meet Wendy Testaburger. "
1,1,Cartman Gets an Anal Probe,300,Stan,"Dude, like Chef says, I've gotta get a piece of lovin' while the gettin's hot. [He hurries away.] "
1,1,Cartman Gets an Anal Probe,327,Stan,But her note said she'd be here. 
1,1,Cartman Gets an Anal Probe,330,Stan,Bleech! 
1,1,Cartman Gets an Anal Probe,335,Stan,Bleech! 
1,1,Cartman Gets an Anal Probe,365,Stan,Bleech! 
1,1,Cartman Gets an Anal Probe,367,Stan,"Hey, wait. When do I get to make sweet love? "
1,1,Cartman Gets an Anal Probe,388,Stan,"Don't be such a fraidy-cat, Cartman. This rope will make sure they can't take you on board again. "
1,1,Cartman Gets an Anal Probe,392,Stan,I think we have to signal them somehow. 
1,1,Cartman Gets an Anal Probe,398,Stan,"Come on Cartman, fart! "
1,1,Cartman Gets an Anal Probe,400,Stan,[To Kyle and Wendy.] He can't hold it in forever. 
1,1,Cartman Gets an Anal Probe,405,Stan,"Hey, it's happening again. "
1,1,Cartman Gets an Anal Probe,408,Stan,"Now, do you believe us, Cartman? "
1,1,Cartman Gets an Anal Probe,410,Stan,"Cartman, there's a 80-foot satellite dish sticking out of your ass! "
1,1,Cartman Gets an Anal Probe,421,Stan,"Come down here, you stinking aliens! [Three Visitors appear.] "
1,1,Cartman Gets an Anal Probe,423,Stan,"Go on, Kyle, ask 'em for your little brother back. "
1,1,Cartman Gets an Anal Probe,425,Stan,Yeah. 
1,1,Cartman Gets an Anal Probe,427,Stan,"That was beautiful, dude. "
1,1,Cartman Gets an Anal Probe,429,Stan,"No, they're leaving. "
1,1,Cartman Gets an Anal Probe,431,Stan,"Whoa, dude! "
1,1,Cartman Gets an Anal Probe,433,Stan,"Hey Wendy, what's a fuck? [She shrugs.] "
1,1,Cartman Gets an Anal Probe,459,Stan,"Phew, I'm sure glad that's over with. "
1,1,Cartman Gets an Anal Probe,469,Stan,"Thanks for your help, Wendy. "
1,1,Cartman Gets an Anal Probe,471,Stan,"Hey, I didn't throw up. "
1,1,Cartman Gets an Anal Probe,474,Stan,Bleech! 
1,1,Cartman Gets an Anal Probe,477,Stan,Sorry. 
1,1,Cartman Gets an Anal Probe,479,Stan,Cool. 
1,1,Cartman Gets an Anal Probe,481,Stan,I think it's part of a Cheesy Poof. 
1,1,Cartman Gets an Anal Probe,484,Stan,"That's uummm... a hamburger from... that's from, like, two days ago. "
1,1,Cartman Gets an Anal Probe,486,Stan,I don't know what the hell that is... 
1,1,Cartman Gets an Anal Probe,488,Stan,"Gee, the bus'll be here any minute, and Cartman still isn't around. "
1,1,Cartman Gets an Anal Probe,490,Stan,I wonder what that thing was that the Visitors gave the cows. 
1,1,Cartman Gets an Anal Probe,499,Stan,"Oh, hey Cartman. "
1,1,Cartman Gets an Anal Probe,502,Stan,"Really, what about? "
1,1,Cartman Gets an Anal Probe,504,Stan,"That wasn't a dream, Cartman. That really happened. "
1,2,Weight Gain 4000,510,Stan,"Yeah, it was huge. "
1,2,Weight Gain 4000,513,Stan,"Yeah, what's there to hate about rainbows? "
1,2,Weight Gain 4000,515,Stan,"Cartman, what the hell are you talking about? "
1,2,Weight Gain 4000,519,Stan,What were you talking about? 
1,2,Weight Gain 4000,531,Stan,"That's impossible, Cartman doesn't know a rain-forest from a Pop-Tart. "
1,2,Weight Gain 4000,540,Stan,"Dude, dolphins are like the second smartest animal on the planet. "
1,2,Weight Gain 4000,569,Stan,"Yeah, cause Cartman cheated and won the environmental essay contest. "
1,2,Weight Gain 4000,574,Stan,"Yeah, that'd be cool. "
1,2,Weight Gain 4000,622,Stan,"[Turning to face Cartman.] We don't believe for a minute that you won that contest fairly, fat boy. "
1,2,Weight Gain 4000,624,Stan,"Dude, dolphins are intelligent and friendly. "
1,2,Weight Gain 4000,626,Stan,Dolphins are way smarter than you! 
1,2,Weight Gain 4000,628,Stan,"Dolphins don't live in igloos, that's Eskimos! "
1,2,Weight Gain 4000,630,Stan,Tell me what you wrote about! 
1,2,Weight Gain 4000,632,Stan,"Yeah, right! You'll go and sit in front of the TV and eat Cheesy Poofs, ass-master! "
1,2,Weight Gain 4000,668,Stan,What? You've got to weight 90 pounds. 
1,2,Weight Gain 4000,675,Stan,What's that stuff? 
1,2,Weight Gain 4000,678,Stan,Super fat-ass? 
1,2,Weight Gain 4000,710,Stan,Take that you stupid Indian! 
1,2,Weight Gain 4000,739,Stan,Shut up Cartman! 
1,2,Weight Gain 4000,790,Stan,"Wendy, you got to prioritize. What's more important? Being on TV or some stupid assassination? "
1,2,Weight Gain 4000,822,Stan,"Wendy, look! "
1,2,Weight Gain 4000,831,Stan,"Mr. Garrison, stop! "
1,2,Weight Gain 4000,848,Stan,"Man, did she really throw her voice with two dummies at once? "
1,2,Weight Gain 4000,870,Stan,"What about, not holding anything against the person who wins? "
1,2,Weight Gain 4000,878,Stan,"Come on Wendy, Kyle's mom will make us tuna fish sandwiches. "
1,2,Weight Gain 4000,889,Stan,We hope you can come back to school real soon Mr. Garrison. 
1,3,Volcano,909,Stan,"Yeah, my Uncle Jimbo says we gotta get up there early. Right, Uncle Jimbo? "
1,3,Volcano,925,Stan,"Maybe your mom can give me a kiss too, Cartman. "
1,3,Volcano,934,Stan,"Uh, Uncle Jimbo, we don't drink beer. "
1,3,Volcano,945,Stan,"You weren't in Vietnam, Cartman. "
1,3,Volcano,947,Stan,"Cartman always makes stuff up, Ned. You can't believe anything he says. "
1,3,Volcano,951,Stan,"My Uncle Jimbo says that after this, he's gonna take me hunting in Africa. "
1,3,Volcano,956,Stan,"Hey, it wasn't coming right for us. It was just sitting there. "
1,3,Volcano,962,Stan,"Wow, you're smart Uncle Jimbo. "
1,3,Volcano,973,Stan,Is this hunting? 
1,3,Volcano,987,Stan,I can't. 
1,3,Volcano,990,Stan,I don't wanna shoot the bunny. 
1,3,Volcano,992,Stan,"I'm not hysterical, I just don't want to shoot the bunny. "
1,3,Volcano,995,Stan,"I can shoot you, fat ass! "
1,3,Volcano,997,Stan,I'll kill you! 
1,3,Volcano,1061,Stan,"Yeah, Cartman's pee. "
1,3,Volcano,1068,Stan,"Hey, I'm a dirty little bastard too. "
1,3,Volcano,1073,Stan,Whatabutt? 
1,3,Volcano,1075,Stan,Why? 
1,3,Volcano,1079,Stan,A hook. 
1,3,Volcano,1082,Stan,Celery? 
