Season,Episode,Episode Title,Line,Character,Lines
1,1,Cartman Gets an Anal Probe,190,Wendy,"Here, Stan. This is for you. [Wendy hands Stan a note.] "
1,1,Cartman Gets an Anal Probe,192,Wendy,Eww! [She leaves.] 
1,1,Cartman Gets an Anal Probe,329,Wendy,"Hi, Stan. "
1,1,Cartman Gets an Anal Probe,331,Wendy,Eww! 
1,1,Cartman Gets an Anal Probe,333,Wendy,"But why, Stan? "
1,1,Cartman Gets an Anal Probe,336,Wendy,Eww! 
1,1,Cartman Gets an Anal Probe,338,Wendy,[Turns to Kyle.] Huh? 
1,1,Cartman Gets an Anal Probe,340,Wendy,What happened to your little brother? 
1,1,Cartman Gets an Anal Probe,360,Wendy,"Well, why don't you go get the fat kid? "
1,1,Cartman Gets an Anal Probe,362,Wendy,"Well, if the fat kid has something implanted in his ass, maybe the Visitors are using him as part of their plan. You should use the fat kid as bait to bring them back. "
1,1,Cartman Gets an Anal Probe,364,Wendy,"Come on, Stan. [She walks past him, following Kyle.] "
1,1,Cartman Gets an Anal Probe,366,Wendy,Eww! [She walks away.] 
1,1,Cartman Gets an Anal Probe,394,Wendy,"Hey, he's like Rudolph. "
1,1,Cartman Gets an Anal Probe,470,Wendy,"Whatever, dude. "
1,1,Cartman Gets an Anal Probe,472,Wendy,Cool! 
1,1,Cartman Gets an Anal Probe,476,Wendy,Eww! 
1,1,Cartman Gets an Anal Probe,478,Wendy,"Hey, look. A French fry. "
1,1,Cartman Gets an Anal Probe,480,Wendy,And what is that? 
1,1,Cartman Gets an Anal Probe,483,Wendy,"Hey, what's that? "
1,1,Cartman Gets an Anal Probe,485,Wendy,"Oh hey, what about that? "
1,2,Weight Gain 4000,524,Wendy,"[Softly.] Wow, I knew I would win. "
1,2,Weight Gain 4000,527,Wendy,What? 
1,2,Weight Gain 4000,536,Wendy,He doesn't even know what he wrote about! 
1,2,Weight Gain 4000,538,Wendy,My paper was on the suffering of bottle-nose dolphins. 
1,2,Weight Gain 4000,542,Wendy,What? 
1,2,Weight Gain 4000,563,Wendy,[Passing by.] Hitler was famous too. 
1,2,Weight Gain 4000,613,Wendy,"Mrs. Mayor, you might want to review the essays. We think Cartman might have cheated. "
1,2,Weight Gain 4000,735,Wendy,Hi guys. 
1,2,Weight Gain 4000,742,Wendy,I'm gonna find Cartman's paper and get to the bottom of this. 
1,2,Weight Gain 4000,758,Wendy,Hello? 
1,2,Weight Gain 4000,760,Wendy,"My essay by Eric Cartman: ""When I wrote the following pages, or rather the bulk of them, I lived alone in the woods on the shore of..."" "
1,2,Weight Gain 4000,763,Wendy,[Hushed.] Oh my God. 
1,2,Weight Gain 4000,783,Wendy,"[Rushing in.] You guys, we have to stop him! "
1,2,Weight Gain 4000,785,Wendy,Mr. Garrison! He's going to try to kill Kathie Lee Gifford! 
1,2,Weight Gain 4000,787,Wendy,He's got a gun! 
1,2,Weight Gain 4000,789,Wendy,"It just so happens that I have your paper, and I know why you won! There's something more important right now. Let's go! "
1,2,Weight Gain 4000,791,Wendy,"[Sweetly.] Stan, I can't do it alone. Please? "
1,2,Weight Gain 4000,816,Wendy,"[Wendy and Stan run up.] Officer Barbrady, Mr. Garrison is about to kill Kathie Lee! We have to find him! "
1,2,Weight Gain 4000,833,Wendy,I know that she's hurt you. She's hurt a lot of people. 
1,2,Weight Gain 4000,835,Wendy,You should have won that talent show. 
1,2,Weight Gain 4000,841,Wendy,"I know that Mr. Garrison, but this isn't the answer. "
1,2,Weight Gain 4000,844,Wendy,"You see, I've learned something today, you can't win all the time, and if you don't win, you certainly can't hold it against the person who did, because that's the only way you ever really lose. "
1,2,Weight Gain 4000,847,Wendy,Gooood. 
1,2,Weight Gain 4000,865,Wendy,You don't deserve to win Cartman. And you know it. 
1,2,Weight Gain 4000,867,Wendy,"I'm holding Cartman's award winning paper. It's actually nothing more than Walden, with Henry David Thoreau's name crossed out, and Cartman's name written in its place. "
1,2,Weight Gain 4000,871,Wendy,"Well, not if it's Cartman. "
1,2,Weight Gain 4000,873,Wendy,"Hey, where are you all going! "
1,2,Weight Gain 4000,875,Wendy,They don't even know what Walden is. 
1,2,Weight Gain 4000,877,Wendy,I bet if Walden was a sitcom you'd all know what it was. 
1,2,Weight Gain 4000,879,Wendy,"Ah, what the hell. "
1,7,Pinkeye,2892,Wendy,"Hi, Stan. "
1,7,Pinkeye,2894,Wendy,Yeahhh? 
1,7,Pinkeye,2896,Wendy,"I know, but then... I guess I just realized how stupid we would look. "
1,7,Pinkeye,2898,Wendy,"I thought you would reach the same conclusion, so, I came as Chewbacca. "
1,7,Pinkeye,2916,Wendy,Eww. 
1,7,Pinkeye,3018,Wendy,Relax Stan. You'll feel better once we're out trick-or-treating. 
1,7,Pinkeye,3070,Wendy,Hi guys. 
1,7,Pinkeye,3073,Wendy,"Oh, I didn't want all that sweet stuff. I gave it away to hungry children in Nairobi. "
1,7,Pinkeye,3075,Wendy,Let's go trick-or-treats. 
1,7,Pinkeye,3077,Wendy,"Stan, I'm awful sorry you got dressed up like Raggedy Andy. Please don't be mad. "
1,7,Pinkeye,3080,Wendy,But Stan! 
1,7,Pinkeye,3083,Wendy,AAAAAAAAAAAH! 
1,7,Pinkeye,3253,Wendy,Aaahahah! 
1,7,Pinkeye,3261,Wendy,Aaahh. 
1,7,Pinkeye,3269,Wendy,Aaah! 
1,7,Pinkeye,3271,Wendy,Aaah! 
1,7,Pinkeye,3275,Wendy,"Oh, what happened? Stan? "
1,7,Pinkeye,3280,Wendy,I'm sorry I dissed you at school like that Stan. I guess I just wasn't very considerate of your feelings. 
1,7,Pinkeye,3282,Wendy,Maybe we could actually kiss tonight Stan. 
1,7,Pinkeye,3284,Wendy,"Eww, gross Stan, sick! Barf is gross! "
1,8,Starvin' Marvin,3380,Wendy,Don't you want to help those who are less fortunate?! 
1,8,Starvin' Marvin,3382,Wendy,This is the one time of year you're supposed to care about people who can't eat! 
1,8,Starvin' Marvin,3384,Wendy,Many would rather die than go to those places! 
1,9,"Mr. Hankey, the Christmas Poo",3785,Wendy,Unh [labored breathing] Oh! 
1,9,"Mr. Hankey, the Christmas Poo",3787,Wendy,Aaaah! 
1,9,"Mr. Hankey, the Christmas Poo",3789,Wendy,UUuuhh-UUuuhh. 
1,9,"Mr. Hankey, the Christmas Poo",3798,Wendy,Okay. 
1,9,"Mr. Hankey, the Christmas Poo",3831,Wendy,"You guys, look! It's snowing! "
1,9,"Mr. Hankey, the Christmas Poo",3835,Wendy,Try to catch snowflakes on your tongue. 
1,9,"Mr. Hankey, the Christmas Poo",3837,Wendy,It's fun. 
1,9,"Mr. Hankey, the Christmas Poo",4180,Wendy,Yeah. 
1,9,"Mr. Hankey, the Christmas Poo",4197,Wendy,I believe in Mr. Hankey. 
1,11,Tom's Rhinoplasty,4728,Wendy,"Stan, you know it's almost Valentine's Day. "
1,11,Tom's Rhinoplasty,4730,Wendy,Maybe we should go on a cruise or something. 
1,11,Tom's Rhinoplasty,4733,Wendy,"I know, but...we can make a little boat out of cardboard and pretend it's a cruise. "
1,11,Tom's Rhinoplasty,4739,Wendy, -and then we can dress up in little costumes and pretend we're getting married. 
1,11,Tom's Rhinoplasty,4767,Wendy,[Gasps.] Stan? Stan?! 
1,11,Tom's Rhinoplasty,4813,Wendy,"[Approaching.] Stan, didn't you notice how her left arm is longer than the right one? "
1,11,Tom's Rhinoplasty,4815,Wendy,Well it is! 
1,11,Tom's Rhinoplasty,4819,Wendy,"Well, did you notice that mole on the back of her neck with the hair growing out of it? "
1,11,Tom's Rhinoplasty,4822,Wendy,"[Panicking a little.] Stan? We're still Valentines, right? "
1,11,Tom's Rhinoplasty,4899,Wendy,"Ms. Ellen, can I talk to you? "
1,11,Tom's Rhinoplasty,4902,Wendy,"I couldn't help but notice you taking a liking to my boyfriend, Stan. "
1,11,Tom's Rhinoplasty,4904,Wendy,"Can I tell you something, Ms. Ellen? "
1,11,Tom's Rhinoplasty,4907,Wendy,Don't fuck with me! 
1,11,Tom's Rhinoplasty,4909,Wendy,"You heard me! Stay away from my man, bitch, or I'll whup your sorry little ass back to last year! "
1,11,Tom's Rhinoplasty,4911,Wendy,"[Sweetly.] Bye, Ms. Ellen. "
1,11,Tom's Rhinoplasty,4937,Wendy,"When someone gets as old as you, "
1,11,Tom's Rhinoplasty,4939,Wendy,Do they have to wear Depends undergarments? 
1,11,Tom's Rhinoplasty,4945,Wendy,"Hi, Stan. "
1,11,Tom's Rhinoplasty,4947,Wendy,"HI, STAN! "
1,11,Tom's Rhinoplasty,4949,Wendy,"I was just in the bathroom, and Ms. Ellen was in there taking the biggest dump I've ever seen. "
1,11,Tom's Rhinoplasty,4951,Wendy,"Yes, she was! "
1,11,Tom's Rhinoplasty,4953,Wendy,"Well, she did! And she has horrible, horrible gas, too! She says she can't control it! "
